Date,Stock,ClosePrice
11/26/2025,RELIANCE,1569.900024
11/27/2025,RELIANCE,1563.400024
11/28/2025,RELIANCE,1567.5
12/1/2025,RELIANCE,1566.099976
12/2/2025,RELIANCE,1546.300049
12/3/2025,RELIANCE,1538.800049
12/4/2025,RELIANCE,1535.599976
12/5/2025,RELIANCE,1540.599976
12/8/2025,RELIANCE,1543
12/9/2025,RELIANCE,1529.400024
12/10/2025,RELIANCE,1536.900024
12/11/2025,RELIANCE,1545
12/12/2025,RELIANCE,1556.5
12/15/2025,RELIANCE,1556.199951
12/16/2025,RELIANCE,1542.300049
12/17/2025,RELIANCE,1544.400024
12/18/2025,RELIANCE,1544.400024
12/19/2025,RELIANCE,1565.099976
12/22/2025,RELIANCE,1575.400024
12/23/2025,RELIANCE,1570.699951
12/24/2025,RELIANCE,1558.199951
12/26/2025,RELIANCE,1559.199951
12/29/2025,RELIANCE,1545.599976
12/30/2025,RELIANCE,1539.800049
12/31/2025,RELIANCE,1570.400024
1/1/2026,RELIANCE,1575.599976
1/2/2026,RELIANCE,1592.300049
1/5/2026,RELIANCE,1578.099976
1/6/2026,RELIANCE,1507.599976
1/7/2026,RELIANCE,1504.199951
1/8/2026,RELIANCE,1470.599976
1/9/2026,RELIANCE,1475.300049
1/12/2026,RELIANCE,1483.199951
1/13/2026,RELIANCE,1452.800049
1/14/2026,RELIANCE,1458.800049
1/15/2026,RELIANCE,1458.800049
1/16/2026,RELIANCE,1457.900024
1/19/2026,RELIANCE,1413.599976
1/20/2026,RELIANCE,1394
1/21/2026,RELIANCE,1404.599976
1/22/2026,RELIANCE,1402.5
1/23/2026,RELIANCE,1386.099976
1/27/2026,RELIANCE,1380.5
1/28/2026,RELIANCE,1396.699951
1/29/2026,RELIANCE,1392.599976
1/29/2025,HDFCBANK,827.4651489
1/30/2025,HDFCBANK,834.470459
1/31/2025,HDFCBANK,838.0471191
2/1/2025,HDFCBANK,834.1990967
2/3/2025,HDFCBANK,827.8104858
2/4/2025,HDFCBANK,848.9744873
2/5/2025,HDFCBANK,857.3117676
2/6/2025,HDFCBANK,860.2963867
2/7/2025,HDFCBANK,854.8203735
2/10/2025,HDFCBANK,846.4337769
2/11/2025,HDFCBANK,839.3544922
2/12/2025,HDFCBANK,842.0184937
2/13/2025,HDFCBANK,837.5291138
2/14/2025,HDFCBANK,836.1231079
2/17/2025,HDFCBANK,847.2230835
2/18/2025,HDFCBANK,850.0350952
2/19/2025,HDFCBANK,852.0823975
2/20/2025,HDFCBANK,832.2998047
2/21/2025,HDFCBANK,834.9638062
2/24/2025,HDFCBANK,827.3665161
2/25/2025,HDFCBANK,829.9564819
2/27/2025,HDFCBANK,839.0090942
2/28/2025,HDFCBANK,854.6477661
3/3/2025,HDFCBANK,839.4285278
3/4/2025,HDFCBANK,843.5971069
3/5/2025,HDFCBANK,833.7304688
3/6/2025,HDFCBANK,834.3224487
3/7/2025,HDFCBANK,833.3604736
3/10/2025,HDFCBANK,832.4971313
3/11/2025,HDFCBANK,831.510498
3/12/2025,HDFCBANK,844.1644897
3/13/2025,HDFCBANK,841.9197388
3/17/2025,HDFCBANK,843.7944946
3/18/2025,HDFCBANK,843.7944946
3/19/2025,HDFCBANK,860.4197388
3/20/2025,HDFCBANK,872.5803223
3/21/2025,HDFCBANK,873.3696899
3/24/2025,HDFCBANK,887.9969482
3/25/2025,HDFCBANK,898.5789185
3/26/2025,HDFCBANK,891.2283325
3/27/2025,HDFCBANK,900.5029297
3/28/2025,HDFCBANK,901.9088745
4/1/2025,HDFCBANK,872.1363525
4/2/2025,HDFCBANK,886.4676514
4/3/2025,HDFCBANK,885.4562988
4/4/2025,HDFCBANK,896.5316772
4/7/2025,HDFCBANK,867.1289673
4/8/2025,HDFCBANK,872.77771
4/9/2025,HDFCBANK,870.7303467
4/11/2025,HDFCBANK,891.3269653
4/15/2025,HDFCBANK,920.0142212
4/16/2025,HDFCBANK,926.4768677
4/17/2025,HDFCBANK,940.635437
4/21/2025,HDFCBANK,950.6994019
4/22/2025,HDFCBANK,967.7686768
4/23/2025,HDFCBANK,949.1207275
4/24/2025,HDFCBANK,945.618103
4/25/2025,HDFCBANK,942.8554077
4/28/2025,HDFCBANK,947.2954102
4/29/2025,HDFCBANK,941.6714478
4/30/2025,HDFCBANK,949.6633911
5/2/2025,HDFCBANK,948.1341553
5/5/2025,HDFCBANK,955.4847412
5/6/2025,HDFCBANK,952.968689
5/7/2025,HDFCBANK,959.8260498
5/8/2025,HDFCBANK,951.3900757
5/9/2025,HDFCBANK,932.2487793
5/12/2025,HDFCBANK,965.5487061
5/13/2025,HDFCBANK,948.4793701
5/14/2025,HDFCBANK,942.5594482
5/15/2025,HDFCBANK,954.0047607
5/16/2025,HDFCBANK,954.4487305
5/19/2025,HDFCBANK,956.4220581
5/20/2025,HDFCBANK,944.6807861
5/21/2025,HDFCBANK,950.5514526
5/22/2025,HDFCBANK,947.1474609
5/23/2025,HDFCBANK,953.9060669
5/26/2025,HDFCBANK,957.1619873
5/27/2025,HDFCBANK,950.3047485
5/28/2025,HDFCBANK,948.9234009
5/29/2025,HDFCBANK,950.8967285
5/30/2025,HDFCBANK,959.4807129
6/2/2025,HDFCBANK,953.1660156
6/3/2025,HDFCBANK,949.4660645
6/4/2025,HDFCBANK,957.6553345
6/5/2025,HDFCBANK,961.7993164
6/6/2025,HDFCBANK,976.1552734
6/9/2025,HDFCBANK,976.2540283
6/10/2025,HDFCBANK,969.5447388
6/11/2025,HDFCBANK,962.1940308
6/12/2025,HDFCBANK,958.7407227
6/13/2025,HDFCBANK,946.0127563
6/16/2025,HDFCBANK,954.7940674
6/17/2025,HDFCBANK,951.9327393
6/18/2025,HDFCBANK,954.0540771
6/19/2025,HDFCBANK,954.744751
6/20/2025,HDFCBANK,969.2486572
6/23/2025,HDFCBANK,961.2073975
6/24/2025,HDFCBANK,967.3740234
6/25/2025,HDFCBANK,976.8953247
6/26/2025,HDFCBANK,997.4179077
6/27/2025,HDFCBANK,1004.949158
6/30/2025,HDFCBANK,998.2658081
7/1/2025,HDFCBANK,1003.552612
7/2/2025,HDFCBANK,990.5350342
7/3/2025,HDFCBANK,991.0836182
7/4/2025,HDFCBANK,992.1809692
7/7/2025,HDFCBANK,991.2332764
7/8/2025,HDFCBANK,998.2159424
7/9/2025,HDFCBANK,1003.103699
7/10/2025,HDFCBANK,1000.609924
7/11/2025,HDFCBANK,989.3878784
7/14/2025,HDFCBANK,989.0387573
7/15/2025,HDFCBANK,995.2732544
7/16/2025,HDFCBANK,995.6722412
7/17/2025,HDFCBANK,990.9838867
7/18/2025,HDFCBANK,976.2705078
7/21/2025,HDFCBANK,997.7670288
7/22/2025,HDFCBANK,1001.058838
7/23/2025,HDFCBANK,1009.637512
7/24/2025,HDFCBANK,1004.599976
7/25/2025,HDFCBANK,1002.299988
7/28/2025,HDFCBANK,1004.25
7/29/2025,HDFCBANK,1010.799988
7/30/2025,HDFCBANK,1012.900024
7/31/2025,HDFCBANK,1009.099976
8/1/2025,HDFCBANK,1006.099976
8/4/2025,HDFCBANK,996
8/5/2025,HDFCBANK,988.7999878
8/6/2025,HDFCBANK,992.6500244
8/7/2025,HDFCBANK,997.7000122
8/8/2025,HDFCBANK,986.9500122
8/11/2025,HDFCBANK,997.7999878
8/12/2025,HDFCBANK,984.9500122
8/13/2025,HDFCBANK,990.1500244
8/14/2025,HDFCBANK,995.5499878
8/18/2025,HDFCBANK,1001.799988
8/19/2025,HDFCBANK,995.5499878
8/20/2025,HDFCBANK,994.0999756
8/21/2025,HDFCBANK,995.5999756
8/22/2025,HDFCBANK,982.2999878
8/25/2025,HDFCBANK,982.0499878
8/26/2025,HDFCBANK,973.4000244
8/28/2025,HDFCBANK,957.7999878
8/29/2025,HDFCBANK,951.5999756
9/1/2025,HDFCBANK,950.5999756
9/2/2025,HDFCBANK,944.5
9/3/2025,HDFCBANK,954.4500122
9/4/2025,HDFCBANK,961.25
9/5/2025,HDFCBANK,963.4000244
9/8/2025,HDFCBANK,966
9/9/2025,HDFCBANK,965.1500244
9/10/2025,HDFCBANK,965.9000244
9/11/2025,HDFCBANK,967.7999878
9/12/2025,HDFCBANK,967.2999878
9/15/2025,HDFCBANK,967.0499878
9/16/2025,HDFCBANK,966.8499756
9/17/2025,HDFCBANK,966.5
9/18/2025,HDFCBANK,976.9000244
9/19/2025,HDFCBANK,966.9000244
9/22/2025,HDFCBANK,964.2000122
9/23/2025,HDFCBANK,957.2000122
9/24/2025,HDFCBANK,951.0499878
9/25/2025,HDFCBANK,949.8499756
9/26/2025,HDFCBANK,945.0499878
9/29/2025,HDFCBANK,950.2999878
9/30/2025,HDFCBANK,951
10/1/2025,HDFCBANK,965.25
10/3/2025,HDFCBANK,965.1500244
10/6/2025,HDFCBANK,973.4500122
10/7/2025,HDFCBANK,982.5
10/8/2025,HDFCBANK,978.7000122
10/9/2025,HDFCBANK,977.0999756
10/10/2025,HDFCBANK,980.9000244
10/13/2025,HDFCBANK,977
10/14/2025,HDFCBANK,977.1500244
10/15/2025,HDFCBANK,978.25
10/16/2025,HDFCBANK,994.3499756
10/17/2025,HDFCBANK,1002.549988
10/20/2025,HDFCBANK,1002.950012
10/21/2025,HDFCBANK,1007.700012
10/23/2025,HDFCBANK,1008.799988
10/24/2025,HDFCBANK,994.75
10/27/2025,HDFCBANK,1002.950012
10/28/2025,HDFCBANK,1003.549988
10/29/2025,HDFCBANK,1007.849976
10/30/2025,HDFCBANK,998.1500244
10/31/2025,HDFCBANK,987.2999878
11/3/2025,HDFCBANK,992.6500244
11/4/2025,HDFCBANK,985.25
11/6/2025,HDFCBANK,984.6500244
11/7/2025,HDFCBANK,982.2999878
11/10/2025,HDFCBANK,984.5
11/11/2025,HDFCBANK,991.7000122
11/12/2025,HDFCBANK,989.5
11/13/2025,HDFCBANK,986.6500244
11/14/2025,HDFCBANK,989.5999756
11/17/2025,HDFCBANK,996.5499878
11/18/2025,HDFCBANK,992.4500122
11/19/2025,HDFCBANK,994.5999756
11/20/2025,HDFCBANK,1008.849976
11/21/2025,HDFCBANK,998.0499878
11/24/2025,HDFCBANK,999.1500244
11/25/2025,HDFCBANK,989.7999878
11/26/2025,HDFCBANK,1003.900024
11/27/2025,HDFCBANK,1009.5
11/28/2025,HDFCBANK,1007.599976
12/1/2025,HDFCBANK,1002.099976
12/2/2025,HDFCBANK,989.7999878
12/3/2025,HDFCBANK,1000.5
12/4/2025,HDFCBANK,997.2000122
12/5/2025,HDFCBANK,1003.299988
12/8/2025,HDFCBANK,1003.099976
12/9/2025,HDFCBANK,997.0999756
12/10/2025,HDFCBANK,989.7999878
12/11/2025,HDFCBANK,1000.299988
12/12/2025,HDFCBANK,1001.5
12/15/2025,HDFCBANK,996.0999756
12/16/2025,HDFCBANK,994.2999878
12/17/2025,HDFCBANK,984
12/18/2025,HDFCBANK,979.7000122
12/19/2025,HDFCBANK,985.5
12/22/2025,HDFCBANK,987.7000122
12/23/2025,HDFCBANK,996.5999756
12/24/2025,HDFCBANK,997.2000122
12/26/2025,HDFCBANK,992.0999756
12/29/2025,HDFCBANK,991.7000122
12/30/2025,HDFCBANK,990.9000244
12/31/2025,HDFCBANK,991.2000122
1/1/2026,HDFCBANK,991.1500244
1/2/2026,HDFCBANK,1001.599976
1/5/2026,HDFCBANK,977.5
1/6/2026,HDFCBANK,962.2000122
1/7/2026,HDFCBANK,949.0499878
1/8/2026,HDFCBANK,946.7000122
1/9/2026,HDFCBANK,939
1/12/2026,HDFCBANK,936.9500122
1/13/2026,HDFCBANK,937.3499756
1/14/2026,HDFCBANK,925.4500122
1/15/2026,HDFCBANK,925.4500122
1/16/2026,HDFCBANK,931.0999756
1/19/2026,HDFCBANK,927.9000244
1/20/2026,HDFCBANK,931.2000122
1/21/2026,HDFCBANK,920.3499756
1/22/2026,HDFCBANK,918.7000122
1/23/2026,HDFCBANK,916.0999756
1/27/2026,HDFCBANK,926.4000244
1/28/2026,HDFCBANK,932.7000122
1/29/2026,HDFCBANK,930.0499878
1/29/2025,ICICIBANK,1242.066162
1/30/2025,ICICIBANK,1245.98584
1/31/2025,ICICIBANK,1243.207397
2/1/2025,ICICIBANK,1245.936279
2/3/2025,ICICIBANK,1243.405762
2/4/2025,ICICIBANK,1258.48938
2/5/2025,ICICIBANK,1257.993164
2/6/2025,ICICIBANK,1262.657227
2/7/2025,ICICIBANK,1247.276001
2/10/2025,ICICIBANK,1252.932251
2/11/2025,ICICIBANK,1243.157715
2/12/2025,ICICIBANK,1242.214966
2/13/2025,ICICIBANK,1239.337158
2/14/2025,ICICIBANK,1250.451416
2/17/2025,ICICIBANK,1241.569946
2/18/2025,ICICIBANK,1233.531982
2/19/2025,ICICIBANK,1251.989624
2/20/2025,ICICIBANK,1240.37915
2/21/2025,ICICIBANK,1223.509277
2/24/2025,ICICIBANK,1209.021118
2/25/2025,ICICIBANK,1214.776733
2/27/2025,ICICIBANK,1213.089722
2/28/2025,ICICIBANK,1194.880249
3/3/2025,ICICIBANK,1196.964111
3/4/2025,ICICIBANK,1201.131958
3/5/2025,ICICIBANK,1206.391357
3/6/2025,ICICIBANK,1208.723511
3/7/2025,ICICIBANK,1205.250244
3/10/2025,ICICIBANK,1205.547852
3/11/2025,ICICIBANK,1235.864014
3/12/2025,ICICIBANK,1234.425049
3/13/2025,ICICIBANK,1240.478394
3/17/2025,ICICIBANK,1259.283325
3/18/2025,ICICIBANK,1259.283325
3/19/2025,ICICIBANK,1303.045532
3/20/2025,ICICIBANK,1311.579712
3/21/2025,ICICIBANK,1332.815918
3/24/2025,ICICIBANK,1347.750732
3/25/2025,ICICIBANK,1333.411255
3/26/2025,ICICIBANK,1325.671021
3/27/2025,ICICIBANK,1326.415283
3/28/2025,ICICIBANK,1338.025635
4/1/2025,ICICIBANK,1308.354614
4/2/2025,ICICIBANK,1321.056641
4/3/2025,ICICIBANK,1319.369751
4/4/2025,ICICIBANK,1325.075684
4/7/2025,ICICIBANK,1277.691284
4/8/2025,ICICIBANK,1289.946655
4/9/2025,ICICIBANK,1290.839844
4/11/2025,ICICIBANK,1301.606689
4/15/2025,ICICIBANK,1339.86145
4/16/2025,ICICIBANK,1346.014038
4/17/2025,ICICIBANK,1395.928833
4/21/2025,ICICIBANK,1399.005249
4/22/2025,ICICIBANK,1405.653931
4/23/2025,ICICIBANK,1413.493408
4/24/2025,ICICIBANK,1391.959473
4/25/2025,ICICIBANK,1394.043457
4/28/2025,ICICIBANK,1417.859741
